uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
qwen3-1_7b__sk-qa_fa_sk__Id62,3,sk,"- Fontána pre Zuzanu | isA | hudobný film
- Fontána pre Zuzanu | releaseYear | 1986
- Fontána pre Zuzanu | basedOn | román Eleonóry Gašparovej
- Fontána pre Zuzanu | musicComposer | Vašo Patejdl","Fontána pre Zuzanu je hudobný film z roku 1986, ktorý sa založil na románe Eleonóry Gašparovej a má hrať Vašo Patejdl.",4,4,0,,"[{""info_used"": ""má hrať Vašo Patejdl"", ""correct_info"": ""Fontána pre Zuzanu | musicComposer | Vašo Patejdl"", ""comment"": ""wrong_predicate: The sentence claims Vašo Patejdl acts in the film, but the triple states he is the music composer.""}]"
gemma4-31B__sk-qa_cf_hsb__Id111,3,hsb,"- Ivan Tásler | adoptedMiddleName | Velislav
- Ivan Tásler | locationOfAdoption | Devín",Ivan Tásler přijimajenje Velislav w Devín přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje př,3,3,0,,"[{""info_used"": ""(repeated/looping text)"", ""correct_info"": ""The sentence contains degenerate repetition of 'přijimajenje'."", ""comment"": ""degenerate""}]"
qwen3-1_7b__cs-qa_cf_hsb__Id396,3,hsb,"- Česká hudební skupina | hasName | Nightwork
- Nightwork | activeFrom | 2006-01-01
- Nightwork | activeUntil | 1990
- Nightwork | hasMember | Jakub Prachař
- Nightwork | hasMember | Vojtěch Dyk",Česká hudební skupina | hasName | Nightwork Nightwork | activeFrom | 2006-01-01 Nightwork | activeUntil | 1990 Nightwork | hasMember | Jakub Prachař Nightwork | hasMember | Vojtěch Dyk,1,1,0,,"[{""info_used"": ""Česká hudební skupina | hasName | Nightwork Nightwork | activeFrom | 2006-01-01 Nightwork | activeUntil | 1990 Nightwork | hasMember | Jakub Prachař Nightwork | hasMember | Vojtěch Dyk"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format."", ""comment"": ""wrong_transform""}]"
gpt-oss-120b__sk-qa_fa_hsb__Id83,3,hsb,- Všeobecná botanika | publishedBy | Slovenská akadémia vied a umení,Všeobecná botanika je wutworiła wot Slovenská akadémia vied a umění.,4,4,0,,"[{""info_used"": ""je wutworiła wot"", ""correct_info"": ""Všeobecná botanika | publishedBy | Slovenská akadémia vied a umení"", ""comment"": ""wrong_predicate: 'je wutworiła wot' means 'was created by', not 'published by'""}]"
qwen3-1_7b__cs-qa_cf_cs__Id435,1,cs,"- Sametová revoluce | isA | období
- období | hasContext | politické změny
- období | location | jméno města Zlín
- období | year | 1989
- období | ledTo | pád komunistického režimu","Sametová revoluce byla obdobím, které málo vztahy k politickým změnám, město Zlín je součástí tohoto období a rok 1989 je ročník tohoto období. Pád komunistického režimu je vztahem mezi obdobím a ledem.",2,2,0,,"[{""info_used"": ""Sametová revoluce byla obdobím, které málo vztahy k politickým změnám"", ""correct_info"": ""období | hasContext | politické změny"", ""comment"": ""unsupported: The sentence says the period has little relation to political changes, but the triple states it has context of political changes.""}, {""info_used"": ""město Zlín je součástí tohoto období"", ""correct_info"": ""období | location | jméno města Zlín"", ""comment"": ""reverse: The triple says the period is located in the city of Zlín, but the sentence says the city is part of the period.""}, {""info_used"": ""rok 1989 je ročník tohoto období"", ""correct_info"": ""období | year | 1989"", ""comment"": ""reverse: The triple says the period has year 1989, but the sentence says the year 1989 is the vintage/class of the period.""}, {""info_used"": ""Pád komunistického režimu je vztahem mezi obdobím a ledem."", ""correct_info"": ""období | ledTo | pád komunistického režimu"", ""comment"": ""unsupported: The sentence introduces an unsupported relationship involving 'led' (ice) and misrepresents the 'ledTo' relation.""}]"
qwen3_5-122b__cs-qa_cf_cs__Id64,1,cs,"- 1. česká hokejová liga | newNameFromSeason | Maxa liga
- 1. česká hokejová liga | seasonStart | 2018-01-01","česká hokejová liga, která začala v roce 2018-01-01, má nové jméno Maxa liga.",5,5,0,,[]
llama4-scout-openrouter__cs-qa_fa_cs__Id497,1,cs,"- Červený hrádek | locatedAt | úpatí Krušných hor
- úpatí Krušných hor | partOf | Krušné hory","Červený hrádek se nachází v úpatí Krušných hor, které jsou součástí Krušných hor.",5,5,0,,[]
llama4-scout-openrouter__cs-qa_fa_cs__Id8,1,cs,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott je český zpěvák, který získal ocenění Zlatý slavík, a to dokonce nejvíckrát.",4,4,0,,"[{""info_used"": ""a to dokonce nejvíckrát"", ""correct_info"": ""Zlatý slavík | awardFrequency | nejvíckrát"", ""comment"": ""unsupported: The sentence claims Karel Gott won the award the most times, but the triple states the award itself has the frequency 'nejvíckrát', not that Karel Gott won it the most times.""}]"
qwen3_5-122b__sk-qa_fa_cs__Id247,1,cs,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska byl v roce 2014 poražen v prezidentských volbách Robertem Ficem.,2,2,0,,"[{""info_used"": ""Andrej Kiska byl v roce 2014 poražen v prezidentských volbách Robertem Ficem."", ""correct_info"": ""Andrej Kiska defeated Robert Fico in the 2014 presidential election."", ""comment"": ""reverse""}]"
gpt-oss-120b__cs-qa_cf_sk__Id147,3,sk,"- Jindřich Vařeka | position | starosta
- Jindřich Vařeka | location | Příbram
- Jindřich Vařeka | startDate | 2014-01-01
- Jindřich Vařeka | endDate | 1960",Jindřich Vařeka bol starosta v Příbrame od 2014-01-01 do 1960.,5,5,0,,[]
gemma4-e2b__cs-qa_cf_sk__Id483,3,sk,"- Eva Adamczyková | isOlympicChampionIn | snowboardcross
- Eva Adamczyková | birthName | Samková
- zimní olympijské hry 2014 | location | Okres Hradec Králové
- Eva Adamczyková | wonAtEvent | zimní olympijské hry 2014","Eva Adamczyková je olympijský šampión v snowboardcrossu, jej meno je Samková, a na zimných olympijských hrách 2014 pôsobil v Okrese Hradec Králové a vyhrála na zimných olympijských hrách 2014.",4,4,0,jej rodne meno,"[{""info_used"": ""na zimných olympijských hrách 2014 pôsobil v Okrese Hradec Králové"", ""correct_info"": ""zimní olympijské hry 2014 | location | Okres Hradec Králové"", ""comment"": ""unsupported: The sentence claims Eva Adamczyková (implied subject) operated in Okres Hradec Králové at the 2014 Winter Olympics, but the triple states the event was located there, not that she operated there.""}]"
qwen3_5-122b__cs-qa_fa_sk__Id164,3,sk,"- První parostrojní železnice v českých zemích | hasName | Severní dráha císaře Ferdinanda
- Severní dráha císaře Ferdinanda | isType | parostrojní železnice
- Severní dráha císaře Ferdinanda | isLocatedIn | české země
- Severní dráha císaře Ferdinanda | isFirst | true","První parostrojní železnice v českých zemí, Severní dráha císaře Ferdinanda, je parostrojní železnicou a je první.",2,2,0,should translate more words,"[{""info_used"": ""je parostrojní železnicou"", ""correct_info"": ""Severní dráha císaře Ferdinanda | isType | parostrojní železnice"", ""comment"": ""unsupported: The sentence claims 'První parostrojní železnice v českých zemí' is a parostrojní železnice, but the triple states that 'Severní dráha císaře Ferdinanda' is of that type. The subject of the claim is wrong.""}, {""info_used"": ""je první"", ""correct_info"": ""Severní dráha císaře Ferdinanda | isFirst | true"", ""comment"": ""unsupported: The sentence claims 'První parostrojní železnice v českých zemí' is first, but the triple states that 'Severní dráha císaře Ferdinanda' is first. The subject of the claim is wrong.""}, {""info_used"": ""(missing)"", ""correct_info"": ""Severní dráha císaře Ferdinanda | isLocatedIn | české země"", ""comment"": ""omission: The sentence does not mention that Severní dráha císaře Ferdinanda is located in české země.""}]"
